total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,Approved
1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1600.0,0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,592.0,0
2.0,4.0,3.0,9.0,0.0,16.0,1.0,8.0,1110.0,1
5.0,1.0,3.0,9.0,2.0,11.0,0.0,8.0,8651.0,1
14.0,6.0,15.0,28.0,0.0,50.0,0.0,45.0,34172.0,1
9.0,3.0,9.0,16.0,7.0,21.0,0.0,17.0,14985.0,1
15.0,10.0,21.0,21.0,1.0,34.0,0.0,37.0,25897.0,1
8.0,9.0,21.0,20.0,0.0,31.0,0.0,28.0,9476.0,1
6.0,3.0,12.0,13.0,0.0,24.0,0.0,19.0,43612.0,1
4.0,4.0,1.0,3.0,0.0,15.0,0.0,14.0,4791.0,0
5.0,1.0,3.0,6.0,0.0,16.0,0.0,20.0,18063.0,1
4.0,1.0,0.0,1.0,0.0,13.0,0.0,10.0,7269.0,1
4.0,3.0,1.0,4.0,0.0,21.0,0.0,19.0,8900.0,1
7.0,2.0,8.0,20.0,0.0,16.0,0.0,29.0,16753.0,1
5.0,1.0,0.0,4.0,0.0,8.0,0.0,24.0,17348.0,1
2.0,2.0,1.0,7.0,1.0,9.0,0.0,8.0,4152.0,1
2.0,3.0,3.0,10.0,0.0,16.0,0.0,26.0,5771.0,1
2.0,2.0,1.0,5.0,0.0,10.0,0.0,10.0,1581.0,1
1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,368.0,1
18.0,16.0,27.0,42.0,3.0,76.0,2.0,54.0,21506.0,1
2.0,0.0,2.0,4.0,0.0,7.0,0.0,9.0,3247.0,1
13.0,8.0,14.0,33.0,1.0,35.0,0.0,26.0,20765.0,1
3.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1284.0,0
15.0,8.0,8.0,29.0,0.0,65.0,0.0,61.0,22594.0,1
8.0,3.0,20.0,12.0,0.0,24.0,0.0,33.0,10447.0,1
13.0,11.0,13.0,24.0,0.0,34.0,0.0,28.0,19244.0,1
6.0,6.0,13.0,15.0,0.0,26.0,0.0,34.0,27669.0,1
11.0,8.0,18.0,33.0,0.0,44.0,0.0,53.0,17693.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,0
3.0,1.0,1.0,7.0,0.0,10.0,0.0,24.0,8867.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,0.0,0.0,4.0,0.0,12.0,0.0,9.0,14875.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,7.0,11.0,37.0,0.0,34.0,0.0,64.0,22701.0,1
2.0,5.0,1.0,7.0,2.0,4.0,0.0,2.0,1655.0,1
3.0,3.0,2.0,3.0,0.0,12.0,0.0,12.0,3019.0,1
10.0,3.0,15.0,16.0,2.0,22.0,0.0,24.0,14728.0,1
4.0,1.0,3.0,3.0,0.0,10.0,0.0,11.0,9601.0,1
7.0,9.0,16.0,35.0,0.0,27.0,0.0,27.0,18510.0,1
6.0,5.0,1.0,13.0,0.0,18.0,0.0,26.0,13084.0,1
2.0,1.0,2.0,4.0,0.0,9.0,0.0,9.0,1351.0,0
8.0,6.0,16.0,17.0,0.0,15.0,0.0,24.0,11239.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,3.0,4.0,11.0,0.0,17.0,0.0,25.0,7664.0,0
8.0,6.0,15.0,13.0,3.0,12.0,1.0,18.0,15354.0,1
2.0,3.0,4.0,1.0,0.0,14.0,0.0,7.0,32098.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,0.0,2.0,2.0,0.0,3.0,0.0,10.0,2581.0,0
6.0,1.0,14.0,19.0,0.0,26.0,0.0,25.0,12576.0,1
4.0,2.0,1.0,7.0,0.0,8.0,0.0,17.0,2995.0,1
4.0,1.0,3.0,7.0,0.0,17.0,0.0,8.0,2042.0,1
8.0,4.0,19.0,8.0,0.0,26.0,0.0,25.0,3377.0,1
3.0,5.0,6.0,11.0,0.0,19.0,0.0,16.0,13037.0,1
5.0,5.0,11.0,12.0,0.0,14.0,0.0,21.0,15228.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,3.0,2.0,4.0,0.0,7.0,0.0,7.0,1835.0,0
5.0,5.0,0.0,12.0,5.0,11.0,0.0,12.0,18545.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,12.0,39.0,22.0,2.0,45.0,0.0,28.0,18955.0,1
3.0,0.0,0.0,4.0,0.0,11.0,0.0,7.0,2944.0,1
1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4271.0,0
8.0,6.0,2.0,11.0,0.0,24.0,0.0,18.0,7568.0,1
7.0,6.0,9.0,19.0,0.0,32.0,0.0,28.0,16395.0,1
46.0,53.0,90.0,89.0,3.0,150.0,0.0,155.0,39314.0,1
6.0,5.0,14.0,16.0,5.0,24.0,0.0,22.0,13221.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,0
2.0,2.0,2.0,2.0,0.0,7.0,0.0,9.0,2100.0,0
5.0,8.0,9.0,19.0,2.0,22.0,0.0,17.0,6826.0,1
